comment,label
duma,1
T thấy t ế vs độc thân may mắn quá bây ơi 🤣🤣,0
còn dầu ăn k em ship vào nhà cho???,0
HONG VU NAY CHUA,0
tưởng mình tao vs mày để ý chai dầu còn có 1 nửa chứ,0
Nên diệt bọn lẩu gà. Tác nhân chính lây lan HIV,1
Nhục tới cuối đời luôn ấy chớ,0
"""Mua bán diêm là phạm pháp rồi, đã phạm pháp thì ko việc gì phải censor =))""",0
T là con trai giờ mới biết gu mấy ô mặn thật 🤣 chắc do T kén quá chăng,0
Mấy ngày nay mình thấy rần rần . Mình ko tin nổi mình nghĩ họ giỡn thôi đúng ko mọi người,0
Nên cong khai hết nhé...vì bệnh nhiễm này kia còn kiếm soat dc,0
"""Iồn má chất v """,0
đụ má jet quá cốt guộc ơi,0
Lònnn má đĩnhhhh vậy có đèn thật kìa,1
đù mắ cốt guột jet v,1
"""yay, từ nay bạn trai cũ của tôi là mẹ kế của tôi, thật tuyệt =))))))""",1
"""Đồng tính? Con gái? Bạn trai cũ của con gái là chồng??? Mẹ kế của con gái là ex????????""",1
"""Anh bạn trai cũ: Tôi không có đc em thì phải có đc bố em! =))))))))))))))))))))))))))""",0
sau khi chia tay anh sẽ ko bao giờ yêu người con gái khác :))),0
:))) khi con gái phải gọi bạn trai cũ là ba :)),0
My boyfriend is my mom? 😀 This is so fked up,0
Rồi từ con gái lại thành ngyeu cũ của chồng ????,0
 mẹ kế phiên bản nam :)))),0
"""Team ăn mặn và quả cua khét lẹt cháy phanh. Chuyện đó có ai ngờ. Thôi thì """"mãi mãi"""" là 32 năm cũng khá là lâu rồi""",0
Trên đời này cái mẹ gì cũng có thể xảy ra,0
em là người phụ nữ cuối cùng của anh...,0
 tình con duyên bố =)) biết đâu chia tay xong Tony thẳng lại rồi yêu con gái ông này,0
" biết đó, rất nhiều điều ngang trái trong 1 bức ảnh :))""",1
Chắc là trai trẻ thì sung sức hơn chăng? 🙂,0
Không làm chồng em thì làm mẹ em = )),0
Má tỷ phú quậy cũng rối hơn người bình thường,0
Bẻ cong thành công hay do ông chú giàu vleu :))))),0
Lại bảo không yêu vì tiền đi 😩,0
Lãnh tình con duyên bố à =)),0
Ở Mỹ thì có gđ Kim 😀,1
Nước đi hay đấy 🙂🙂,0
nghe vô lí nhưng rất thuyết phục 😂,0
sáng ra rối não vỡi :v,0
đọc cái caption cũng muốn loạn não :) sau này đừng v nha shema.. :),0
"""Bạn trai cũ trở thành mẹ kế, tội em gái vl =)))""",0
32 năm còn toang bu em ạ =)),0
hông biết nói gì lun ó...,0
nhà em giàu nên anh lấy bố em,1
è xã hội lắn mqh lạ kì nè,0
Tẹt vời,0
một chút drama cuối ngày,0
Ủa z rốt cuộc là cha hay là bà dì ghẻ 👨‍❤️‍💋‍👨,0
t thấy chồng cũ đẹp hơn mà?? 😃,0
phuk tạp quá,0
Éo biết nói,0
cuộc sống đéo ai ngờ,0
 :) anh ko thể làm chồng em thì làm bố em,0
ko làm dc chồng em thì anh làm mẹ em?,1
xung quanh ta nhiều điều hay,1
Đọc cái tittle muốn xoắn não,0
32 năm đó trời 😢,0
thật bất ngờ 😱,0
